RMSD(ArbAlign),nameA,nameB
3.8400934103533775,1ln1_DLP,1ln1_DLP_conf0
4.50268783211814,1ln1_DLP,1ln1_DLP_conf1
3.957425446418773,1ln1_DLP,1ln1_DLP_conf2
3.6158907142579624,1ln1_DLP,1ln1_DLP_conf3
4.275709505193889,1ln1_DLP,1ln1_DLP_conf4
4.092146912214294,1ln1_DLP,1ln1_DLP_conf5
3.8344973507096114,1ln1_DLP,1ln1_DLP_conf6
4.035472666265147,1ln1_DLP,1ln1_DLP_conf7
4.407654316244572,1ln1_DLP,1ln1_DLP_conf8
3.9143885164840326,1ln1_DLP,1ln1_DLP_conf9
4.014348273090703,1ln1_DLP,1ln1_DLP_conf10
3.8246054827370966,1ln1_DLP,1ln1_DLP_conf11
3.7713808071691783,1ln1_DLP,1ln1_DLP_conf12
4.119596410677869,1ln1_DLP,1ln1_DLP_conf13
3.991021070103267,1ln1_DLP,1ln1_DLP_conf14
4.077097905652402,1ln1_DLP,1ln1_DLP_conf15
3.8941510618670465,1ln1_DLP,1ln1_DLP_conf16
4.530038039785118,1ln1_DLP,1ln1_DLP_conf17
4.069515448612526,1ln1_DLP,1ln1_DLP_conf18
3.7899116913854463,1ln1_DLP,1ln1_DLP_conf19
4.006759975499197,1ln1_DLP,1ln1_DLP_conf20
4.307377252308949,1ln1_DLP,1ln1_DLP_conf21
3.830118469278567,1ln1_DLP,1ln1_DLP_conf22
4.1228628093365955,1ln1_DLP,1ln1_DLP_conf23
4.00992941155962,1ln1_DLP,1ln1_DLP_conf24
4.15727013048642,1ln1_DLP,1ln1_DLP_conf25
3.4100288963035457,1ln1_DLP,1ln1_DLP_conf26
4.1638633634091144,1ln1_DLP,1ln1_DLP_conf27
4.002075340841383,1ln1_DLP,1ln1_DLP_conf28
4.010645585982496,1ln1_DLP,1ln1_DLP_conf29
3.3455481249531007,1ln1_DLP,1ln1_DLP_conf30
4.18835921931439,1ln1_DLP,1ln1_DLP_conf31
4.4703889729170765,1ln1_DLP,1ln1_DLP_conf32
4.33097079135767,1ln1_DLP,1ln1_DLP_conf33
